table	category	tenant_id	workspace_id	rls_enabled	rls_forced	policy
logistics.continuation_delivery_line	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_assignment	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_attempt	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_attempt_line	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_command_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_event	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_handoff_token	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_incident	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.delivery_quantity_outcome	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.dispatch_event	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.dispatch_number_counter	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.dispatch_order	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.fulfillment	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.fulfillment_command_idempotency	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.fulfillment_event	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.fulfillment_line	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
logistics.operational_handoff_note	FORCED_RLS_DIRECT_SCOPE	t	t	t	t	USING+WITH CHECK
